ENGINESIZE,CYLINDERS,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,CO2EMISSIONS
2.0,4,9.9,6.7,0
2.4,4,11.2,7.7,0
1.5,4,6.0,5.8,0
3.5,6,12.7,9.1,0
3.5,6,12.1,8.7,0
3.5,6,11.9,7.7,0
3.5,6,11.8,8.1,0
3.7,6,12.8,9.0,0
3.7,6,13.4,9.5,1
2.4,4,10.6,7.5,0
2.4,4,11.2,8.1,0
3.5,6,12.1,8.3,0
5.9,12,18.0,12.6,1
5.9,12,18.0,12.6,1
4.7,8,17.4,11.3,1
4.7,8,18.1,12.2,1
4.7,8,17.4,11.3,1
4.7,8,18.1,12.2,1
5.9,12,18.0,12.6,1
2.0,4,9.9,7.4,0
2.0,4,11.5,8.1,0
2.0,4,10.8,7.5,0
2.0,4,11.5,8.1,0
2.0,4,11.5,8.1,0
2.0,4,10.8,7.5,0
2.0,4,12.0,8.1,0
3.0,6,12.8,8.6,0
3.0,6,9.8,6.4,0
3.0,6,13.1,8.8,1
3.0,6,9.8,6.4,0
3.0,6,13.1,8.8,1
4.0,8,13.5,8.6,1
3.0,6,10.0,6.4,0
3.0,6,13.1,8.8,1
4.0,8,14.7,9.7,1
6.3,12,18.2,12.6,1
3.0,6,10.1,6.5,0
2.0,4,11.8,8.8,0
2.0,4,12.0,8.5,0
3.0,6,12.9,9.2,1
2.0,4,9.9,8.3,0
3.0,6,10.3,7.6,0
3.0,6,15.1,10.9,1
3.0,6,12.9,8.4,1
4.2,8,17.6,11.0,1
4.2,8,21.2,13.4,1
5.2,10,18.8,11.3,1
5.2,10,21.1,13.8,1
4.2,8,17.6,11.0,1
4.2,8,21.2,13.4,1
5.2,10,18.8,11.3,1
5.2,10,21.1,13.8,1
4.2,8,15.3,10.9,1
4.2,8,15.2,11.3,1
4.0,8,15.3,9.3,1
3.0,6,13.2,9.2,1
3.0,6,14.6,9.8,1
3.0,6,13.2,9.2,1
3.0,6,14.6,9.8,1
3.0,6,13.3,9.5,1
4.0,8,14.2,9.7,1
4.0,8,14.2,9.7,1
4.0,8,15.4,9.8,1
3.0,6,14.9,10.1,1
2.0,4,10.4,7.6,0
2.0,4,10.4,7.6,0
2.0,4,11.5,8.8,0
2.0,4,11.5,8.8,0
4.0,8,15.4,9.8,1
6.0,12,18.8,11.5,1
4.0,8,16.8,10.3,1
6.0,12,20.0,12.2,1
4.0,8,16.7,10.6,1
6.0,12,20.0,12.2,1
6.0,12,20.0,12.2,1
6.8,8,22.3,14.9,1
2.0,4,10.0,6.5,0
2.0,4,10.4,6.7,0
2.0,4,10.2,7.0,0
2.0,4,7.6,5.5,0
2.0,4,7.6,5.5,0
2.0,4,10.0,6.5,0
2.0,4,10.4,6.7,0
2.0,4,10.6,7.2,0
2.0,4,10.6,7.2,0
2.0,4,10.6,7.2,0
3.0,6,11.4,7.3,0
3.0,6,11.8,7.9,0
3.0,6,11.7,7.8,0
3.0,6,11.9,8.3,0
3.0,6,11.9,8.0,0
2.0,4,10.0,6.5,0
2.0,4,10.4,6.7,0
2.0,4,10.6,7.2,0
3.0,6,11.4,7.3,0
3.0,6,11.8,7.9,0
3.0,6,11.7,7.8,0
3.0,6,11.9,8.3,0
2.0,4,10.2,7.0,0
2.0,4,10.6,7.2,0
3.0,6,9.2,6.4,0
3.0,6,11.9,8.0,0
3.0,6,12.5,8.6,0
4.4,8,14.4,9.6,1
4.4,8,15.0,9.8,1
3.0,6,11.9,8.0,0
4.4,8,15.0,9.8,1
4.4,8,14.4,9.6,1
4.4,8,15.0,9.8,1
3.0,6,12.5,8.6,0
4.4,8,15.0,9.8,1
4.4,8,15.0,9.8,1
6.0,12,18.7,11.5,1
3.0,6,9.2,7.1,0
3.0,6,10.5,7.9,0
3.0,6,10.5,7.6,0
4.4,8,15.0,9.8,1
4.4,8,15.0,9.8,1
4.4,8,17.3,11.5,1
4.4,8,16.2,10.9,1
4.4,8,17.3,11.5,1
4.4,8,16.2,10.9,1
4.4,8,17.3,11.5,1
4.4,8,16.2,10.9,1
4.4,8,17.3,11.5,1
4.4,8,16.2,10.9,1
2.0,4,10.6,7.2,0
3.0,6,13.2,8.9,1
2.0,4,11.2,8.5,0
3.0,6,12.6,9.1,0
3.0,6,12.9,8.8,0
4.4,8,16.3,10.9,1
4.4,8,18.1,13.7,1
3.0,6,13.6,9.8,1
4.4,8,16.4,11.3,1
2.0,4,10.8,7.1,0
2.0,4,10.4,6.7,0
